"country","area","sunshine_hours","consumption_twh","avg_land_i_procent","land_km2"
"Afghanistan",652230.00,3175.10,27.14,0.02,130.4460000000000000
"Albania",27400.00,2544.00,40.25,0.72,197.2800000000000000
"Algeria",2381741.00,3266.50,705.00,0.11,2619.9151000000000000
"Angola",1246700.00,2341.00,96.31,0.04,498.6800000000000000
"Antigua and Barbuda",440.00,3000.00,2.75,2.60,11.4400000000000000
"Argentina",2736690.00,2220.30,1019.74,0.21,5747.0490000000000000
"Armenia",28470.00,2474.00,49.36,0.88,250.5360000000000000
"Australia",7692020.00,2975.43,1672.46,0.09,6922.8180000000000000
"Austria",82520.00,1884.00,384.81,3.09,2549.8680000000000000
"Azerbaijan",82650.00,2207.40,227.85,1.56,1289.3400000000000000
"Bahamas",10010.00,3000.00,14.46,0.60,60.0600000000000000
"Bahrain",790.00,3600.00,235.75,103.62,818.5980000000000000
"Bangladesh",130170.00,2066.00,508.49,2.36,3072.0120000000000000
"Barbados",430.00,2800.00,6.48,6.73,28.9390000000000000
"Belarus",202950.00,1807.00,296.07,1.01,2049.7950000000000000
"Belgium",30280.00,1546.00,642.06,17.14,5189.9920000000000000
"Belize",22810.00,2800.00,2.98,0.06,13.6860000000000000
"Benin",112760.00,2630.47,32.29,0.14,157.8640000000000000
"Bhutan",38140.00,1800.00,21.60,0.39,148.7460000000000000
"Bolivia",1083300.00,2288.90,85.31,0.04,433.3200000000000000
"Bosnia and Herz.",51200.00,1769.00,75.28,1.04,532.4800000000000000
"Botswana",566730.00,3426.67,24.29,0.02,113.3460000000000000
"Brazil",8358140.00,2237.58,3853.71,0.26,21731.164000000000
"Brunei",5270.00,2500.00,45.99,4.36,229.7720000000000000
"Bulgaria",108560.00,2177.00,199.27,1.05,1139.8800000000000000
"Burkina Faso",273600.00,3209.00,20.00,0.03,82.0800000000000000
"Burundi",25680.00,2373.40,3.69,0.08,20.5440000000000000
"Cambodia",176520.00,2400.00,66.94,0.20,353.0400000000000000
"Cameroon",472710.00,2165.13,43.34,0.05,236.3550000000000000
"Canada",8788700.00,2028.04,3874.89,0.27,23729.490000000000
"Cape Verde",4030.00,2800.00,4.26,0.47,18.9410000000000000
"Central African Rep.",622980.00,2546.50,1.56,0.00,0.00000000000000000000
"Chad",1259200.00,3353.20,6.20,0.00,0.00000000000000000000
"Chile",743532.00,2841.78,504.07,0.30,2230.5960000000000000
"China",9388210.00,2028.58,47427.56,3.11,291973.331000000000
"Colombia",1109500.00,1930.78,626.49,0.37,4105.1500000000000000
"Comoros",1861.00,2500.00,1.34,0.36,6.6996000000000000
"Congo",341500.00,1698.67,13.70,0.03,102.4500000000000000
"Costa Rica",51060.00,2700.00,61.63,0.56,285.9360000000000000
"Croatia",55960.00,2272.00,101.16,0.99,554.0040000000000000
"Cuba",103800.00,2800.00,103.89,0.45,467.1000000000000000
"Cyprus",9240.00,3314.10,32.10,1.31,121.0440000000000000
"Czechia",77186.00,1600.00,423.37,4.29,3311.2794000000000000
"Denmark",40000.00,1932.00,195.52,3.16,1264.0000000000000000
"Djibouti",23180.00,3279.00,3.08,0.05,11.5900000000000000
"Dominica",750.00,3000.00,0.76,0.42,3.1500000000000000
"Dominican Republic",47531.00,2900.00,111.04,1.01,480.0631000000000000
"Ecuador",248360.00,1909.55,234.31,0.62,1539.8320000000000000
"Egypt",995450.00,3710.68,1093.76,0.37,3683.1650000000000000
"El Salvador",20720.00,2957.00,44.68,0.91,188.5520000000000000
"Eq. Guinea",28050.00,1548.95,20.27,0.58,162.6900000000000000
"Eritrea",121040.00,3361.00,3.31,0.01,12.1040000000000000
"Estonia",42750.00,1994.50,55.51,0.81,346.2750000000000000
"Eswatini",17200.00,3000.00,7.13,0.17,29.2400000000000000
"Ethiopia",1128571.00,2784.85,104.84,0.04,451.4284000000000000
"Fiji",18270.00,1922.00,8.53,0.30,54.8100000000000000
"Finland",303947.00,1858.00,332.16,0.74,2249.2078000000000000
"France",547557.00,2315.13,2406.63,2.37,12977.100900000000
"Gabon",257670.00,1720.20,18.75,0.05,128.8350000000000000
"Gambia",10120.00,3070.00,2.46,0.10,10.1200000000000000
"Georgia",69490.00,2046.00,78.30,0.69,479.4810000000000000
"Germany",349390.00,1644.00,3169.55,6.90,24107.910000000000
"Ghana",227533.00,2367.50,114.37,0.27,614.3391000000000000
"Greece",128900.00,2773.00,305.18,1.07,1379.2300000000000000
"Greenland",410450.00,1200.00,3.57,0.01,41.0450000000000000
"Grenada",340.00,3000.00,1.18,1.45,4.9300000000000000
"Guatemala",107160.00,2700.00,100.58,0.43,460.7880000000000000
"Guinea",245720.00,2440.00,17.34,0.04,98.2880000000000000
"Guinea-Bissau",28120.00,2707.00,1.40,0.02,5.6240000000000000
"Guyana",196850.00,2460.60,11.01,0.03,59.0550000000000000
"Haiti",27560.00,2800.00,11.80,0.19,52.3640000000000000
"Honduras",111890.00,2259.80,52.29,0.26,290.9140000000000000
"Hungary",91260.00,1988.00,252.93,1.74,1587.9240000000000000
"Iceland",100830.00,1326.00,62.84,0.59,594.8970000000000000
"India",2973190.00,2517.02,10837.86,1.81,53814.739000000000
"Indonesia",1892555.00,2521.65,2807.73,0.74,14004.907000000000
"Iran",1622500.00,3043.23,3531.12,0.89,14440.250000000000
"Iraq",434128.00,3240.80,697.72,0.62,2691.5936000000000000
"Ireland",68890.00,1453.00,180.77,2.26,1556.9140000000000000
"Israel",21640.00,3311.00,309.46,5.40,1168.5600000000000000
"Italy",295717.00,2372.25,1651.43,2.94,8694.0798000000000000
"Jamaica",10830.00,3000.00,34.60,1.33,144.0390000000000000
"Japan",364500.00,1837.12,4834.37,9.02,32877.900000000000
"Jordan",88794.00,3200.00,102.38,0.45,399.5730000000000000
"Kazakhstan",2699700.00,2431.50,828.09,0.16,4319.5200000000000000
"Kenya",569140.00,3030.13,103.50,0.08,455.3120000000000000
"Kiribati",810.00,3000.00,0.32,0.16,1.2960000000000000
"Kuwait",17820.00,3600.00,438.11,8.54,1521.8280000000000000
"Kyrgyzstan",191800.00,2500.00,60.54,0.16,306.8800000000000000
"Laos",230800.00,2500.00,139.94,0.30,692.4000000000000000
"Latvia",62230.00,1754.00,40.23,0.46,286.2580000000000000
"Lebanon",10230.00,2944.00,105.32,4.37,447.0510000000000000
"Lesotho",30360.00,2700.00,4.87,0.07,21.2520000000000000
"Liberia",96320.00,1800.00,5.53,0.04,38.5280000000000000
"Libya",1759540.00,3178.10,190.41,0.04,703.8160000000000000
"Lithuania",62610.00,1691.00,66.32,0.78,488.3580000000000000
"Luxembourg",2574.00,1634.00,37.55,11.16,287.2584000000000000
"Madagascar",581800.00,2864.43,14.68,0.01,58.1800000000000000
"Malawi",94280.00,2795.87,9.25,0.04,37.7120000000000000
"Malaysia",328550.00,2500.00,1335.31,2.03,6669.5650000000000000
"Maldives",300.00,2500.00,9.21,15.35,46.0500000000000000
"Mali",1220190.00,3099.87,25.60,0.01,122.0190000000000000
"Malta",320.00,3054.00,39.15,50.08,160.2560000000000000
"Mauritania",1030700.00,3332.50,18.41,0.01,103.0700000000000000
"Mauritius",1997.00,2800.00,25.62,5.73,114.4281000000000000
"Mexico",1943950.00,2596.25,2348.04,0.58,11274.910000000000
"Micronesia (country)",700.00,3000.00,0.72,0.43,3.0100000000000000
"Moldova",32970.00,2126.00,49.00,0.87,286.8390000000000000
"Mongolia",1557507.00,2791.50,75.02,0.02,311.5014000000000000
"Montenegro",13450.00,2481.00,11.89,0.45,60.5250000000000000
"Morocco",446300.00,3155.47,271.28,0.24,1071.1200000000000000
"Mozambique",786380.00,2838.00,71.89,0.04,314.5520000000000000
"Myanmar",652670.00,2500.00,164.88,0.13,848.4710000000000000
"Namibia",823290.00,3737.50,22.13,0.01,82.3290000000000000
"Nauru",20.00,3000.00,0.27,5.63,1.1260000000000000
"Nepal",143350.00,1800.00,48.29,0.23,329.7050000000000000
"Netherlands",33670.00,1662.00,954.52,21.32,7178.4440000000000000
"New Caledonia",18280.00,2700.00,20.15,0.51,93.2280000000000000
"New Zealand",263310.00,1967.06,239.13,0.58,1527.1980000000000000
"Nicaragua",120340.00,2759.90,29.22,0.11,132.3740000000000000
"Niger",1266700.00,3203.20,10.35,0.00,0.00000000000000000000
"Nigeria",910770.00,2669.08,543.74,0.28,2550.1560000000000000
"North Korea",120410.00,2492.00,99.58,0.41,493.6810000000000000
"North Macedonia",25220.00,2339.00,33.53,0.71,179.0620000000000000
"Norway",364270.00,1373.33,553.08,1.38,5026.9260000000000000
"Oman",309500.00,3493.30,430.09,0.50,1547.5000000000000000
"Pakistan",770880.00,3108.52,936.70,0.49,3777.3120000000000000
"Palestine",6025.00,3200.00,20.53,1.33,80.1325000000000000
"Panama",74180.00,1743.50,117.78,1.14,845.6520000000000000
"Papua New Guinea",452860.00,2463.00,21.13,0.02,90.5720000000000000
"Paraguay",397300.00,2803.00,105.80,0.12,476.7600000000000000
"Peru",1280000.00,2281.65,343.82,0.15,1920.0000000000000000
"Philippines",298170.00,2103.10,609.21,1.21,3607.8570000000000000
"Poland",306100.00,1997.00,1143.45,2.34,7162.7400000000000000
"Portugal",91605.00,2770.00,263.46,1.30,1190.8650000000000000
"Puerto Rico",8870.00,2963.80,78.72,3.74,331.7380000000000000
"Qatar",11490.00,3600.00,616.21,18.62,2139.4380000000000000
"Romania",230080.00,2115.00,354.46,0.91,2093.7280000000000000
"Russia",16376870.00,1972.79,8691.99,0.34,55681.358000000000
"Rwanda",24670.00,1800.00,6.35,0.18,44.4060000000000000
"Saint Kitts and Nevis",260.00,3000.00,1.00,1.60,4.1600000000000000
"Saint Lucia",610.00,3000.00,2.44,1.67,10.1870000000000000
"Saint Vincent and the Grenadines",390.00,3000.00,0.86,0.92,3.5880000000000000
"Samoa",2780.00,3000.00,1.60,0.24,6.6720000000000000
"Saudi Arabia",2149690.00,3236.50,3221.73,0.58,12468.202000000000
"Senegal",192530.00,3146.00,42.28,0.09,173.2770000000000000
"Serbia",84090.00,2055.00,201.69,1.46,1227.7140000000000000
"Seychelles",460.00,2800.00,4.89,4.75,21.8500000000000000
"Sierra Leone",72180.00,1800.00,4.15,0.04,28.8720000000000000
"Singapore",718.00,2022.40,964.02,829.86,5958.3948000000000000
"Slovakia",48080.00,2038.00,186.63,2.38,1144.3040000000000000
"Slovenia",20136.00,1974.00,72.43,2.28,459.1008000000000000
"Solomon Is.",27990.00,2330.00,1.34,0.03,8.3970000000000000
"Somalia",627340.00,3103.00,3.71,0.00,0.00000000000000000000
"South Africa",1213090.00,3141.32,1348.08,0.44,5337.5960000000000000
"South Korea",97600.00,2196.65,3453.89,20.14,19656.640000000000
"South Sudan",631930.00,2841.30,7.87,0.01,63.1930000000000000
"Spain",499733.00,2832.50,1572.86,1.39,6946.2887000000000000
"Sri Lanka",61860.00,2500.00,99.31,0.80,494.8800000000000000
"Sudan",1868000.00,3559.55,105.81,0.02,373.6000000000000000
"Suriname",156000.00,2400.00,12.43,0.04,62.4000000000000000
"Sweden",407283.00,1782.50,597.50,1.03,4195.0149000000000000
"Switzerland",39509.00,1932.75,314.64,5.15,2034.7135000000000000
"Syria",183630.00,3200.00,117.44,0.25,459.0750000000000000
"Tajikistan",138790.00,2500.00,74.83,0.27,374.7330000000000000
"Tanzania",885800.00,3032.85,57.70,0.03,265.7400000000000000
"Thailand",510890.00,2175.03,1390.81,1.56,7969.8840000000000000
"Togo",54390.00,2579.95,9.65,0.09,48.9510000000000000
"Tonga",720.00,3000.00,0.71,0.41,2.9520000000000000
"Trinidad and Tobago",5130.00,3000.00,163.85,13.31,682.8030000000000000
"Tunisia",155360.00,3049.95,116.79,0.31,481.6160000000000000
"Turkey",769630.00,2333.80,1945.30,1.35,10390.005000000000
"Turkmenistan",469930.00,3200.00,444.95,0.37,1738.7410000000000000
"Tuvalu",30.00,3000.00,0.00,0.00,0.00000000000000000000
"Uganda",200520.00,2304.00,35.16,0.10,200.5200000000000000
"Ukraine",579400.00,1955.00,616.64,0.68,3939.9200000000000000
"United Arab Emirates",71020.00,3600.00,1425.92,6.97,4950.0940000000000000
"United Kingdom",241930.00,1441.67,1930.59,6.92,16741.556000000000
"United States of America",9147420.00,2827.62,26189.20,1.27,116172.234000000000
"Uruguay",175020.00,2481.40,62.76,0.18,315.0360000000000000
"Uzbekistan",440653.00,2823.90,584.52,0.59,2599.8527000000000000
"Vanuatu",12190.00,3000.00,0.94,0.03,3.6570000000000000
"Venezuela",882050.00,2895.30,703.17,0.34,2998.9700000000000000
"Vietnam",313429.00,2123.50,1358.73,2.55,7992.4395000000000000
"Yemen",527970.00,3200.00,35.62,0.03,158.3910000000000000
"Zambia",743390.00,2965.47,66.58,0.04,297.3560000000000000
"Zimbabwe",386850.00,3065.40,42.15,0.04,154.7400000000000000
